# compare_mock_data.csv -- 2LPT-0 MOCK-injection DLA recovery, validated >=20.3 numbers.
# Source: /scratch/.../cddf_o3_realdata/hbi_validation_2lpt0/{figures/compare_synthesis.json,
#   hbi/hbi_validation_results.json, rawff/rawff_results.json}  (2LPT-0 mock, FILTER-off MAX_DLAS=1,
#   HBI kernel mollynhi195_lyaonly1025_broaden012). These are MOCK numbers (truth known) -- no real-LOA values.
# Two self-describing sections, each prefixed by a 'section,' marker line.
#   block=integrated : integrated dN/dX & Omega at logN>=20.3 (path-weighted over z in [2.0,3.5]).
#       err_kind=std -> symmetric 1-sigma (HBI MC); err_kind=ci68 -> [lo,hi] Poisson-binomial (raw-FF).
#   block=fN : differential f(N_HI) [cm^2] per 0.1-dex logN bin (truth, HBI loa0/pm, raw-FF) + HBI-loa0 MC 68% band.

section,integrated
method,quantity,value,R0,err_kind,err_lo,err_hi,truth
raw_feedforward,dndx,0.04912303683,0.903944,ci68,0.04890883602,0.0493393274,0.05434300658
raw_feedforward,omega,0.0009232048599,1.468214,ci68,0.0009155170421,0.000931115865,0.0006287943088
HBI_purity_mixture,dndx,0.05924490521,1.090203,std,0.0004870942175,0.0004870942175,0.05434300658
HBI_purity_mixture,omega,0.0006468828709,1.028767,std,1.567000253e-05,1.567000253e-05,0.0006287943088
HBI_loa0,dndx,0.06297774677,1.158893,std,0.003334439959,0.003334439959,0.05434300658
HBI_loa0,omega,0.0007006972884,1.114351,std,5.372779835e-05,5.372779835e-05,0.0006287943088

section,fN
logN_mid,f_truth,f_hbi_loa0,f_hbi_pm,f_loa0_band_lo,f_loa0_band_hi
20.050000,4.467038e-22,4.036395e-22,3.478044e-22,3.773724e-22,4.247534e-22
20.150000,3.457579e-22,3.191498e-22,3.397704e-22,2.997848e-22,3.358844e-22
20.250000,2.549756e-22,2.620311e-22,2.624858e-22,2.472254e-22,2.735689e-22
20.350000,1.816118e-22,2.069118e-22,1.825326e-22,1.946825e-22,2.167122e-22
20.450000,1.299748e-22,1.476462e-22,1.279138e-22,1.403422e-22,1.544421e-22
20.550000,9.111510e-23,9.772498e-23,9.117045e-23,9.129350e-23,1.023230e-22
20.650000,6.314909e-23,6.365665e-23,6.416991e-23,5.869476e-23,6.769868e-23
20.750000,4.250915e-23,4.278462e-23,4.363940e-23,3.929708e-23,4.603696e-23
20.850000,2.825062e-23,2.945254e-23,2.907439e-23,2.705122e-23,3.165051e-23
20.950000,1.848651e-23,2.029212e-23,1.943911e-23,1.846812e-23,2.175710e-23
21.050000,1.189872e-23,1.370098e-23,1.319985e-23,1.112800e-23,1.517187e-23
21.150000,7.962056e-24,8.939040e-24,8.831396e-24,6.695590e-24,1.046653e-23
21.250000,4.537660e-24,5.565532e-24,5.596330e-24,4.121107e-24,6.629779e-24
21.350000,2.842519e-24,3.274207e-24,3.261996e-24,2.663771e-24,3.781027e-24
21.450000,1.434607e-24,1.814929e-24,1.745626e-24,1.616114e-24,2.116178e-24
21.550000,8.418508e-25,9.463910e-25,8.599615e-25,8.880171e-25,1.104815e-24
21.650000,4.264211e-25,4.679829e-25,3.946031e-25,4.553173e-25,5.342291e-25
21.750000,2.063103e-25,2.256763e-25,1.738588e-25,2.226231e-25,2.512350e-25
21.850000,9.416874e-26,1.093708e-25,7.596672e-26,1.087161e-25,1.187258e-25
21.950000,5.634353e-26,5.357558e-26,3.311932e-26,5.344572e-26,5.623947e-26

section,fN_rawff
logN_mid,f_rawff,f_rawff_lo,f_rawff_hi
19.550000,1.157061e-21,1.145065e-21,1.169056e-21
19.650000,8.400205e-22,8.309990e-22,8.492449e-22
19.750000,6.276372e-22,6.206322e-22,6.347228e-22
19.850000,4.819849e-22,4.764846e-22,4.874853e-22
19.950000,3.673592e-22,3.631425e-22,3.716775e-22
20.050000,2.842978e-22,2.809888e-22,2.876473e-22
20.150000,2.179083e-22,2.153118e-22,2.205368e-22
20.250000,1.625749e-22,1.605889e-22,1.646118e-22
20.350000,1.211489e-22,1.196118e-22,1.227062e-22
20.450000,9.113923e-23,8.996645e-23,9.232807e-23
20.550000,6.587347e-23,6.499295e-23,6.677952e-23
20.650000,4.745959e-23,4.679057e-23,4.813874e-23
20.750000,3.425232e-23,3.375311e-23,3.476764e-23
20.850000,2.308872e-23,2.272416e-23,2.346607e-23
20.950000,1.613515e-23,1.586589e-23,1.641457e-23
21.050000,1.107329e-23,1.087152e-23,1.127910e-23
21.150000,8.145115e-24,7.994458e-24,8.298978e-24
21.250000,4.733386e-24,4.634085e-24,4.840327e-24
21.350000,3.308841e-24,3.236030e-24,3.383674e-24
21.450000,1.902148e-24,1.853952e-24,1.953557e-24
21.550000,1.332273e-24,1.297817e-24,1.369280e-24
21.650000,8.768164e-25,8.504612e-25,9.041853e-25
21.750000,4.927697e-25,4.750557e-25,5.112888e-25
21.850000,3.313007e-25,3.185091e-25,3.447318e-25
21.950000,2.118501e-25,2.032135e-25,2.220107e-25

