# (S2N_RED bin, log-NHI bin) purity & completeness at P_DLA>0.99; purity uses predicted NHI, completeness uses truth NHI
snr_lo	snr_hi	nhi_lo	nhi_hi	purity	completeness
0	1	19.5	20	0.6667	0.0036
0	1	20	20.3	0.8947	0.0129
0	1	20.3	20.5	0.9610	0.0198
0	1	20.5	21	0.9963	0.0480
0	1	21	21.5	0.9963	0.0943
0	1	21.5	22	0.9798	0.1414
0	1	22	inf	0.8947	0.2273
1	2	19.5	20	0.4301	0.1357
1	2	20	20.3	0.8224	0.2775
1	2	20.3	20.5	0.9235	0.3745
1	2	20.5	21	0.9761	0.5213
1	2	21	21.5	0.9954	0.6716
1	2	21.5	22	0.9979	0.8114
1	2	22	inf	0.9362	0.8333
2	3	19.5	20	0.3823	0.4899
2	3	20	20.3	0.8305	0.7121
2	3	20.3	20.5	0.9488	0.8174
2	3	20.5	21	0.9862	0.8844
2	3	21	21.5	1.0000	0.9488
2	3	21.5	22	0.9965	0.9316
2	3	22	inf	0.8108	0.9286
3	4	19.5	20	0.3847	0.7290
3	4	20	20.3	0.8709	0.8950
3	4	20.3	20.5	0.9664	0.9381
3	4	20.5	21	0.9938	0.9662
3	4	21	21.5	0.9982	0.9798
3	4	21.5	22	0.9951	1.0000
3	4	22	inf	0.9444	1.0000
4	5	19.5	20	0.4066	0.8213
4	5	20	20.3	0.9125	0.9400
4	5	20.3	20.5	0.9791	0.9714
4	5	20.5	21	0.9984	0.9769
4	5	21	21.5	1.0000	0.9919
4	5	21.5	22	1.0000	0.9908
4	5	22	inf	1.0000	1.0000
5	6	19.5	20	0.4461	0.8651
5	6	20	20.3	0.9337	0.9761
5	6	20.3	20.5	0.9897	0.9808
5	6	20.5	21	1.0000	0.9873
5	6	21	21.5	1.0000	0.9871
5	6	21.5	22	0.9907	0.9737
5	6	22	inf	1.0000	1.0000
6	7	19.5	20	0.4748	0.8880
6	7	20	20.3	0.9621	0.9709
6	7	20.3	20.5	0.9935	0.9846
6	7	20.5	21	0.9990	0.9906
6	7	21	21.5	1.0000	0.9880
6	7	21.5	22	1.0000	0.9800
6	7	22	inf	1.0000	1.0000
7	inf	19.5	20	0.6031	0.9124
7	inf	20	20.3	0.9786	0.9835
7	inf	20.3	20.5	0.9969	0.9863
7	inf	20.5	21	0.9978	0.9918
7	inf	21	21.5	0.9987	0.9964
7	inf	21.5	22	1.0000	1.0000
7	inf	22	inf	1.0000	1.0000
