metric	limit	arm	est_tilt	truth_tilt	R0_0	pred_R0_0_x_truth	sigma_MC	R0_inj	R0inj_over_R0_0	sig_ratio	pull_bd	pull_raw
dndx	20.0	+0.5	0.0010144	0.00241745	0.231302	0.000559161	0.00023743	0.419616	1.81415	0.944037	1.91736	-5.90936
dndx	20.0	-0.5	0.000103471	0.00119874	0.231302	0.000277271	0.000119346	0.0863165	0.373176	0.46406	-1.45627	-9.17726
dndx	20.3	+0.5	0.000998675	0.00188402	0.345677	0.000651263	0.000213308	0.530077	1.53344	0.636063	1.62869	-4.15052
dndx	20.3	-0.5	9.42767e-05	0.000575394	0.345677	0.000198901	5.60575e-05	0.163847	0.473989	0.328386	-1.86637	-8.58257
dndx	20.6	+0.5	0.000897873	0.0013266	0.512999	0.000680544	0.000141183	0.676823	1.31935	0.328819	1.53934	-3.0367
dndx	20.6	-0.5	7.14783e-05	0.000261724	0.512999	0.000134264	1.77332e-05	0.273106	0.532371	0.167456	-3.54058	-10.7283
omega	20.0	+0.5	1.44319e-05	3.6669e-05	0.324981	1.19167e-05	1.81027e-06	0.393572	1.21106	0.277977	1.38939	-12.2838
omega	20.0	-0.5	1.32118e-06	6.25788e-06	0.324981	2.03369e-06	3.92907e-07	0.211123	0.649646	0.230045	-1.81344	-12.5646
omega	20.3	+0.5	1.4398e-05	3.56045e-05	0.351104	1.25009e-05	1.7966e-06	0.404387	1.15176	0.251722	1.05595	-11.8037
omega	20.3	-0.5	1.30208e-06	5.05645e-06	0.351104	1.77534e-06	2.98349e-07	0.257509	0.733426	0.213448	-1.58626	-12.5838
omega	20.6	+0.5	1.39658e-05	3.34082e-05	0.384963	1.28609e-05	1.61811e-06	0.418035	1.08591	0.193528	0.682816	-12.0156
omega	20.6	-0.5	1.20868e-06	3.85406e-06	0.384963	1.48367e-06	1.84164e-07	0.313612	0.814655	0.166064	-1.49319	-14.3643
# R0(0) baseline (control est0/truth0) with sigma:
# R0_0	dndx	20.0	0.231302	+-0.107501
# R0_0	dndx	20.3	0.345677	+-0.122914
# R0_0	dndx	20.6	0.512999	+-0.0991963
# R0_0	omega	20.0	0.324981	+-0.0624697
# R0_0	omega	20.3	0.351104	+-0.0629992
# R0_0	omega	20.6	0.384963	+-0.0521298
# control n_mc = 200
# reweighting reference (baseline-divided closure pulls, the FAIL):
# reweight	dndx	20.3	plus=-4.41	minus=+6.83	OPPOSITE
# reweight	omega	20.3	plus=-2.32	minus=+6.20	OPPOSITE
