window	arm	n_tier	median_bias	mean_bias	d_vs_null_median	n_truth>=20.3	n_meas>=20.3	R0_proxy	upmig	downmig
all-z	off	622	0.0452	-0.0404	0.0017	622	714	1.1479	212	120
all-z	null	602	0.0435	-0.0476	0.0000	602	688	1.1429	206	120
all-z	dla	603	0.0500	-0.0324	0.0065	603	696	1.1542	208	115
z[2.0,2.5)	off	15	0.0924	0.1791	-0.0031	15	21	1.4000	6	0
z[2.0,2.5)	null	16	0.0956	0.1776	0.0000	16	21	1.3125	5	0
z[2.0,2.5)	dla	16	0.1028	0.1607	0.0072	16	19	1.1875	4	1
z[2.5,3.0)	off	81	0.0697	0.0699	0.0043	81	109	1.3457	31	3
z[2.5,3.0)	null	80	0.0654	0.0764	0.0000	80	106	1.3250	29	3
z[2.5,3.0)	dla	81	0.0597	0.0798	-0.0056	81	108	1.3333	29	2
z[3.0,4.0)	off	526	0.0412	-0.0636	0.0018	526	584	1.1103	175	117
z[3.0,4.0)	null	506	0.0394	-0.0743	0.0000	506	561	1.1087	172	117
z[3.0,4.0)	dla	506	0.0420	-0.0564	0.0026	506	569	1.1245	175	112
highz(z>3)	off	526	0.0412	-0.0636	0.0018	526	584	1.1103	175	117
highz(z>3)	null	506	0.0394	-0.0743	0.0000	506	561	1.1087	172	117
highz(z>3)	dla	506	0.0420	-0.0564	0.0026	506	569	1.1245	175	112
